id,assignment_id,creation_time,event_type
3153,3T3IWE1XG6NZYKV1Q60G8YV68K4QTI,2016-02-23 23:46:55.960242,AssignmentSubmitted
3154,3YJ6NA41JBGKK5YHEZ7N6NIN5MSPJM,2016-02-23 23:46:56.732667,AssignmentSubmitted
3155,39ZSFO5CA8WXCA6DVL6HGT5MD3KJUC,2016-02-23 23:46:57.709919,AssignmentSubmitted
3156,38YMOXR4MUZYGJGB62RTPDLECDB6WS,2016-02-23 23:46:58.337801,AssignmentSubmitted
3157,31LVTDXBL7ABR82WUCNPRXVUATKLRB,2016-02-23 23:46:59.002477,AssignmentSubmitted
3158,3ZOTGHDK5IBVY856MT3M9O4KR08OSJ,2016-02-23 23:46:59.731181,AssignmentReturned
3159,3Y5140Z9DXGOPUEBWHMNUM3NS73PIA,2016-02-23 23:47:00.137481,AssignmentSubmitted
3160,3RU7GD8VPOTDJ8H71TG1YO9A155PS2,2016-02-23 23:47:34.782039,AssignmentAccepted
3161,386CSBG1OZMTWMKPUTSNXO3SOCU6QO,2016-02-23 23:48:02.481366,AssignmentSubmitted
3162,3KKG4CDWKIY9P0ZPU3OMEVTPILK49F,2016-02-23 23:48:03.543612,AssignmentSubmitted
3163,3HQUKB7LNFEWGI537MWXL10H63EHH4,2016-02-23 23:48:04.756301,AssignmentSubmitted
3164,3A1COHJ8NJV3N74A4I2R8O7I3KOH8P,2016-02-23 23:48:05.58804,AssignmentSubmitted
3165,3ATPCQ38J8A3SQNEBGQTQF8GJ40YA8,2016-02-23 23:48:06.282173,AssignmentSubmitted
3166,33FOTY3KEMLUVZ99J5FBINNUCMD1CG,2016-02-23 23:48:06.930283,AssignmentSubmitted
3167,3YMU66OBIN8IGMASNGEF01OGR31HG5,2016-02-23 23:48:07.651296,AssignmentSubmitted
3168,3ZY8KE4ISJ3EBCZQV10V9GJR55KVQ3,2016-02-23 23:48:08.592109,AssignmentSubmitted
3169,3RWE2M8QWHADFELICCKPKTYW6YLN0H,2016-02-23 23:48:14.687912,AssignmentAccepted
3170,3N8OEVH1FRQG0GDDFCMDPJUJUB5OOM,2016-02-23 23:48:36.045765,AssignmentSubmitted
3171,3C2NJ6JBKAHKBOOWRZO33HRB3W5N21,2016-02-23 23:49:16.664889,AssignmentAccepted
3172,3OS4RQUCR9F2B9BBC4Y1W5L6VBWFBO,2016-02-23 23:49:45.88691,AssignmentAccepted
3173,37Z929RLG98BB0AEIAPL3YA7Q8PTSA,2016-02-23 23:52:09.791821,AssignmentAccepted
3174,37Z929RLG98BB0AEIAPL3YA7Q8PTSA,2016-02-23 23:52:10.190506,AssignmentReturned
3175,3NPI0JQDAO5EY8UMQTLR8T5W3OITPU,2016-02-23 23:52:48.989773,AssignmentAccepted
3176,35L9RVQFCOI1L4BN7L3W4GP70BGHU5,2016-02-23 23:52:57.312766,AssignmentAccepted
3177,3X87C8JFV6BYJKIM16VQYTZK61QQST,2016-02-23 23:52:57.705495,AssignmentAbandoned
3178,3X87C8JFV6BYJKIM16VQYTZK61QQST,2016-02-23 23:52:58.245988,AssignmentAccepted
3179,33UKMF9319KCQ0NT7AUBD36TSR3TTZ,2016-02-23 23:53:31.241836,AssignmentAccepted
3180,3C2NJ6JBKAHKBOOWRZO33HRB3W5N21,2016-02-23 23:54:33.186921,AssignmentSubmitted
3181,3SPJ0334213ETJQI5M36JEBZ9RUYJO,2016-02-23 23:54:33.892148,AssignmentSubmitted
3182,3RWE2M8QWHADFELICCKPKTYW6YLN0H,2016-02-23 23:54:34.612406,AssignmentSubmitted
3183,3WQ3B2KGE8GBLUH355JG73HCU1D1B9,2016-02-23 23:54:35.519383,AssignmentSubmitted
3184,3RU7GD8VPOTDJ8H71TG1YO9A155PS2,2016-02-23 23:55:29.755949,AssignmentSubmitted
3185,3NPI0JQDAO5EY8UMQTLR8T5W3OITPU,2016-02-23 23:55:30.694186,AssignmentSubmitted
3186,35L9RVQFCOI1L4BN7L3W4GP70BGHU5,2016-02-23 23:59:59.671667,AssignmentSubmitted
3187,3X87C8JFV6BYJKIM16VQYTZK61QQST,2016-02-24 00:00:00.356627,AssignmentSubmitted
3188,3OS4RQUCR9F2B9BBC4Y1W5L6VBWFBO,2016-02-24 00:00:02.130209,AssignmentSubmitted
3189,3M0BCWMB8VW4MVX62T810T76QELWB2,2016-02-24 00:00:36.068359,AssignmentAccepted
3190,33UKMF9319KCQ0NT7AUBD36TSR3TTZ,2016-02-24 00:01:03.471654,AssignmentSubmitted
3191,3M0BCWMB8VW4MVX62T810T76QELWB2,2016-02-24 00:06:32.534406,AssignmentSubmitted
3192,3N4BPTXIO8SSNUCVD66TH85ZSSKKUC,2016-02-24 00:07:06.581454,AssignmentAccepted
3193,3R3YRB5GRF3MBH391FT4NU23NGPUA6,2016-02-24 00:07:43.425742,AssignmentAccepted
3194,3WSELTNVR327B4OK1A3UIYG142JTAF,2016-02-24 00:12:24.922386,AssignmentAccepted
3195,3N4BPTXIO8SSNUCVD66TH85ZSSKKUC,2016-02-24 00:12:31.820651,AssignmentSubmitted
3196,3WSELTNVR327B4OK1A3UIYG142JATW,2016-02-24 00:12:55.353912,AssignmentAccepted
3197,34FNN24DCM96MKBXGKZCI4SURQ15YB,2016-02-24 00:13:38.956055,AssignmentAccepted
3198,3WSELTNVR327B4OK1A3UIYG142JTAF,2016-02-24 00:14:04.514774,AssignmentSubmitted
3199,3R3YRB5GRF3MBH391FT4NU23NGPUA6,2016-02-24 00:14:22.940655,AssignmentSubmitted
3200,3F6KKYWMNB17EYMCOO8KZ0IF0NUDN0,2016-02-24 00:19:12.782577,AssignmentAccepted
3201,3U4J9857OEBPWGW5UL0P8D8PXNDB7G,2016-02-24 00:19:26.69214,AssignmentAccepted
3202,34FNN24DCM96MKBXGKZCI4SURQ15YB,2016-02-24 00:19:38.233635,AssignmentSubmitted
3203,3WSELTNVR327B4OK1A3UIYG142JATW,2016-02-24 00:20:34.854383,AssignmentSubmitted
3204,30H4UDGLT2IALD42HWKFMFA49GOMPO,2016-02-24 00:20:51.123416,AssignmentAccepted
3205,38BQUHLA9W0S0DS12W70XF5EZBSMO7,2016-02-24 00:21:08.075881,AssignmentAccepted
