id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
19,bandit_agent,1,2016-02-22 21:08:51.934107,f,,A361EVMLK9O0G1:36ZN444YTRY64U2AHH985MYXI0XOIE,0.5328999999999999,0,,,
20,bandit_agent,1,2016-02-22 21:08:58.615752,f,,A2QQY4S73JO639:3NKQQ8O39Y5K9O6LLPK6DVA98HDDUE,0.04000000000000001,0,,,
23,bandit_agent,1,2016-02-22 21:09:18.690504,f,,A2GVT08PN1PMEB:33IZTU6J811ISHJYNKQIS1VD323XSJ,1.0000000000000004e-12,0,,,
30,bandit_agent,1,2016-02-22 21:10:42.588826,f,,A1EAEZ7VIHKQ2:38BQUHLA9W0S0DS12W70XF5EZ9HOMU,0.0004,0,,,
32,bandit_agent,1,2016-02-22 21:11:11.093409,f,,A109G5BOM0U66G:32KTQ2V7RDFPTQOV07OI0PAP4AVM9E,0.4900000000000001,0,,,
31,bandit_agent,1,2016-02-22 21:10:55.970371,f,,A1WSY1HH039WHZ:3018Q3ZVOIQUVPBSXLYZIJFJGFCRAM,0.0144,0,,,
37,bandit_agent,1,2016-02-22 21:12:04.801669,f,,AEWGY34WUIA32:3TU5ZICBRD1G003DN8PLH2ZJU5A8QY,0.16810000000000003,0,,,
50,bandit_agent,1,2016-02-22 21:21:10.318737,f,,AHXDKQOG8YHLP:37M28K1J0QDDX1SFPGPQGSTS6YJAJE,0.010000000000000002,0,,,
44,bandit_agent,1,2016-02-22 21:16:26.143714,f,,A1X94LTZZQMHTP:3MMN5BL1WZ43EOZFJYN89C734ILM3X,0.17639999999999997,0,,,
45,bandit_agent,1,2016-02-22 21:17:24.511675,t,2016-02-22 21:18:39.484016,AFU00NU09CFXE:39RP059MEHT8HJ3SYR2ERV5FSAYMBO,,0,,,
47,bandit_agent,1,2016-02-22 21:19:07.675494,f,,A3N7R7P9HP2YB6:3EJJQNKU9R595CJ63R8RZ52NTA3HRO,0.0144,0,,,
62,bandit_agent,1,2016-02-22 21:48:42.189473,f,,A2IP3ZAFYGV8M9:3JMSRU9HQIUPE99LMA5VFZUDM0PVEG,0.6889000000000001,1,,,
51,bandit_agent,1,2016-02-22 21:21:14.501964,f,,A376BI2RNUIFRH:37Q970SNZE8A2GY5GR5BXSRCYNPS1N,0.1296,0,,,
49,bandit_agent,1,2016-02-22 21:21:03.616094,f,,A1M1AD5KPXNGUG:3DOCMVPBTNEG0ADPDIMNV5U9EPNNNF,0.0324,0,,,
53,bandit_agent,1,2016-02-22 21:35:44.920751,t,2016-02-22 21:38:18.117323,A16EFXBMX60OR0:3ZY8KE4ISJ3EBCZQV10V9GJR53CVQR,0.019600000000000003,0,,,
54,bandit_agent,1,2016-02-22 21:41:26.276951,f,,A1F34ZP6YNI98F:3MX2NQ3YC9UHMFLNBODAZQLLPIX5XR,0.22090000000000004,0,,,
60,bandit_agent,1,2016-02-22 21:48:02.297262,f,,A10A25H4472NHN:3IO1LGZLK9XNQIKT8ZBNBXISU4Z680,0.12250000000000003,1,,,
58,bandit_agent,1,2016-02-22 21:47:54.923253,f,,A2C4R0TBPZGWTD:3I02618YA06TYL9BQYB1DPRYM0IPU6,0.0144,1,,,
55,bandit_agent,1,2016-02-22 21:47:04.247988,t,2016-02-22 21:52:41.670556,AS7WV8YWOEO55:3YJ6NA41JBGKK5YHEZ7N6NIN5KJJP3,0.0256,1,,,
