id,assignment_id,creation_time,event_type
3328,39GHHAVOMFRYVCCYGFFZ3P7SFLDJ4X,2016-03-13 01:21:24.463799,AssignmentAccepted
3329,3WT783CTPBHV8XR1L280OZ03ZTKCBH,2016-03-13 01:21:26.894581,AssignmentSubmitted
3330,3MTMREQS4VIZ3LSEWF855IN09RHWAF,2016-03-13 01:22:19.251338,AssignmentSubmitted
3331,3PXX5PX6LXY7FIU31OC9I4AFZQ1ABF,2016-03-13 01:22:29.650394,AssignmentAccepted
3332,32Z9ZLUT1LK68ZRQBZRN5AXIJK8OH6,2016-03-13 01:24:04.50142,AssignmentSubmitted
3333,3A0EX8ZRN8O8B0S6HUQPLQSM2H3BYP,2016-03-13 01:24:16.586391,AssignmentAccepted
3334,37UQDCYH6XV45UUBZ2RP9P2W1A9V7D,2016-03-13 01:24:20.985947,AssignmentSubmitted
3335,3OJSZ2ATDSWN70FWTB9C5R8XOM857H,2016-03-13 01:24:48.788603,AssignmentSubmitted
3336,3TXMY6UCAEOIC3TQ4K5QJOV2LTNQC9,2016-03-13 01:25:35.376313,AssignmentAccepted
3337,3VNXK88KKCI8JDI4EZP9NLT2W0YV9Q,2016-03-13 01:25:35.80162,AssignmentAccepted
3338,3JW0YLFXRTGWAYVHXK4XN7KR1AJWWP,2016-03-13 01:26:44.407343,AssignmentSubmitted
3339,3M68NM076H7T8NZP78HN2EDXLTBR6G,2016-03-13 01:26:45.491577,AssignmentSubmitted
3340,3TEM0PF1Q5X4T2U5NI6MOOM2TPZD0W,2016-03-13 01:28:00.984283,AssignmentAbandoned
3341,39GHHAVOMFRYVCCYGFFZ3P7SFLDJ4X,2016-03-13 01:28:28.126061,AssignmentSubmitted
3342,3YMU66OBIN8IGMASNGEF01OGSYIGHC,2016-03-13 01:28:30.709644,AssignmentSubmitted
3343,3PXX5PX6LXY7FIU31OC9I4AFZQ1ABF,2016-03-13 01:29:39.601962,AssignmentSubmitted
3344,36WLNQG78ZAA5VBFHTEVEN06K5ZEBE,2016-03-13 01:30:19.880421,AssignmentAccepted
3345,3R8YZBNQ9HIC0MYUD3XF323OKIX7QY,2016-03-13 01:30:47.339515,AssignmentAccepted
3346,3TYCR1GOTCJKTZON4TH2D0XTK5NLZF,2016-03-13 01:32:33.643634,AssignmentAccepted
3347,3PJUZCGDJ6GA81MR66EZV79UL2Z890,2016-03-13 01:32:56.703737,AssignmentAccepted
3348,3J88R45B2GYLFP36V3MOXWQ2HFPXPR,2016-03-13 01:33:01.041483,AssignmentAccepted
3349,3ZPPDN2SLVWRH2WIJ90ZNH5GW5XE95,2016-03-13 01:33:12.651285,AssignmentAccepted
3350,34YB12FSQYO480B3EDUSS6WC9KJGMN,2016-03-13 01:33:14.573176,AssignmentAccepted
3351,3IX2EGZR7BJ5WIEWRRBCBII27ZWJRF,2016-03-13 01:33:15.499326,AssignmentSubmitted
3352,3A0EX8ZRN8O8B0S6HUQPLQSM2H3BYP,2016-03-13 01:34:02.494892,AssignmentSubmitted
3353,3VNXK88KKCI8JDI4EZP9NLT2W0YV9Q,2016-03-13 01:34:03.459708,AssignmentSubmitted
3354,3Z7VU45IPYH73SKJBJZJTLOFMZIZ1N,2016-03-13 01:34:33.610891,AssignmentAccepted
3355,3H0W84IWBK2XL2S4DQ0LE25A2R3ERS,2016-03-13 01:35:54.181553,AssignmentAccepted
3356,3TXMY6UCAEOIC3TQ4K5QJOV2LTNQC9,2016-03-13 01:36:12.396673,AssignmentSubmitted
3357,3RU7GD8VPOTDJ8H71TG1YO9A20LPS9,2016-03-13 01:38:46.842028,AssignmentAbandoned
3358,36WLNQG78ZAA5VBFHTEVEN06K5ZEBE,2016-03-13 01:39:46.536317,AssignmentSubmitted
3359,3PJUZCGDJ6GA81MR66EZV79UL2Z890,2016-03-13 01:40:33.65642,AssignmentSubmitted
3360,3ZPPDN2SLVWRH2WIJ90ZNH5GW5XE95,2016-03-13 01:40:34.855172,AssignmentSubmitted
3361,3R8YZBNQ9HIC0MYUD3XF323OKIX7QY,2016-03-13 01:41:08.905599,AssignmentSubmitted
3362,34YB12FSQYO480B3EDUSS6WC9KJGMN,2016-03-13 01:42:45.202369,AssignmentSubmitted
3363,3J88R45B2GYLFP36V3MOXWQ2HFPXPR,2016-03-13 01:43:34.807124,AssignmentSubmitted
3364,3H0W84IWBK2XL2S4DQ0LE25A2R3ERS,2016-03-13 01:43:44.193506,AssignmentSubmitted
3365,3TYCR1GOTCJKTZON4TH2D0XTK5NLZF,2016-03-13 01:43:45.206518,AssignmentSubmitted
3366,339ANSOTR52NE3HVJPHFY5HOZSIIKE,2016-03-13 01:45:04.857391,AssignmentAccepted
3367,3HHRAGRYX85DTT97DN3VSTZU075O9L,2016-03-13 01:46:09.448117,AssignmentAccepted
3368,3Z7VU45IPYH73SKJBJZJTLOFMZIZ1N,2016-03-13 01:47:40.368843,AssignmentSubmitted
3369,3HHRAGRYX85DTT97DN3VSTZU075O9L,2016-03-13 01:59:19.753332,AssignmentSubmitted
3370,339ANSOTR52NE3HVJPHFY5HOZSIIKE,2016-03-13 02:03:02.114557,AssignmentAbandoned
3371,3X4MXAO0BGOR22EVYQUR08CA9VERWR,2016-03-13 02:12:54.035488,AssignmentAccepted
3372,3X4MXAO0BGOR22EVYQUR08CA9VERWR,2016-03-13 02:14:50.206176,AssignmentReturned
3373,30MVJZJNHMDZSIIAXABQKXI81D0J92,2016-03-13 02:18:02.903739,AssignmentAccepted
3374,30MVJZJNHMDZSIIAXABQKXI81D0J92,2016-03-13 02:26:11.891656,AssignmentSubmitted
3375,34PGFRQONOBA4EVIQLLIYHQJZEOJWV,2016-03-13 02:39:00.974055,AssignmentAccepted
3376,3KV0LJBBH2LVXQKHUOO4RAAJBT4RM4,2016-03-13 02:39:39.17247,AssignmentAccepted
3377,304SM51WA34BFEGXIOY0344LLWJBSN,2016-03-13 02:39:50.176171,AssignmentAccepted
3378,3WT783CTPBHV8XR1L280OZ03ZTXCBU,2016-03-13 02:42:18.922793,AssignmentAccepted
3379,3DHE4R9OCWBE1W7A4VB8DXIE3FCG26,2016-03-13 02:44:54.045431,AssignmentAccepted
3380,304SM51WA34BFEGXIOY0344LLWKBSO,2016-03-13 02:47:03.984069,AssignmentAccepted
3381,3GFK2QRXX9H2XFGX1JHOX77EHDTW5M,2016-03-13 02:49:10.332028,AssignmentAccepted
3382,304SM51WA34BFEGXIOY0344LLWJBSN,2016-03-13 02:49:14.070134,AssignmentSubmitted
3383,3634BBTX0OUCYHPHIEQIISPJRWAFII,2016-03-13 02:50:45.583551,AssignmentAccepted
3384,3QECW5O0KH1A5YC36ECDAN0FDJD5T7,2016-03-13 02:51:26.238951,AssignmentAccepted
3385,34PGFRQONOBA4EVIQLLIYHQJZEOJWV,2016-03-13 02:51:28.309575,AssignmentSubmitted
3386,3KV0LJBBH2LVXQKHUOO4RAAJBT4RM4,2016-03-13 02:51:29.499775,AssignmentSubmitted
3387,3WT783CTPBHV8XR1L280OZ03ZTXCBU,2016-03-13 02:51:30.718584,AssignmentSubmitted
3388,3E4GGUZ1T8RJ3I3TUMWNBPA7AWVK2F,2016-03-13 02:55:40.338713,AssignmentAccepted
3389,3GFK2QRXX9H2XFGX1JHOX77EHDTW5M,2016-03-13 02:58:47.718454,AssignmentSubmitted
3390,304SM51WA34BFEGXIOY0344LLWKBSO,2016-03-13 02:59:18.763297,AssignmentSubmitted
3391,3DHE4R9OCWBE1W7A4VB8DXIE3FCG26,2016-03-13 02:59:25.90081,AssignmentSubmitted
3392,3FTF2T8WLRILY2I949U59NCG3AF9WV,2016-03-13 03:02:42.056013,AssignmentAccepted
3393,3IHR8NYAM71UHNFWBSKJ0LT4OLY4PZ,2016-03-13 03:03:13.728794,AssignmentAccepted
3394,3OXV7EAXLEQ1PLENWIGRKGAHFGD368,2016-03-13 03:04:18.929425,AssignmentAccepted
3395,3634BBTX0OUCYHPHIEQIISPJRWAFII,2016-03-13 03:04:30.488001,AssignmentSubmitted
3396,3QECW5O0KH1A5YC36ECDAN0FDJD5T7,2016-03-13 03:04:31.604359,AssignmentSubmitted
3397,3Q5ZZ9ZEVOFR7EKF3G1IJR4SZ7T85O,2016-03-13 03:06:12.216974,AssignmentAccepted
3398,30ZX6P7VF8VOSYXBC1WBAAAUV8X2J2,2016-03-13 03:10:38.157125,AssignmentAccepted
3399,3E4GGUZ1T8RJ3I3TUMWNBPA7AWVK2F,2016-03-13 03:11:01.552531,AssignmentSubmitted
