id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
30,bandit_agent,1,2016-03-10 17:25:16.749329,f,,A110KENBXU7SUJ:3FTYUGLFSUL3O9G6KOCY5JITAT6D55,0.3364,0,,,
28,bandit_agent,1,2016-03-10 17:25:05.480098,f,,A1S6C6EN8MPKC3:3X4JMASXCM9BE5WL9MFGTYY2Q0J0B0,0.2304,0,,,
13,bandit_agent,1,2016-03-10 17:22:19.864133,f,,A2IKSCWK5EOG79:3EWIJTFFVO79L885JDH6U64NTXW0E0,0.6724000000000001,0,,,
44,bandit_agent,1,2016-03-10 17:30:49.695058,f,,A1N904Y15Q8RUW:3LS2AMNW5FQJLSQTUPEHEOPJA3ZOQP,0.17639999999999997,0,,,
25,bandit_agent,1,2016-03-10 17:24:30.481644,f,,AZIY6IFOS4CVC:3QRYMNZ7FYHEVNI9AE8Z440140UNTO,0.7569,0,,,
27,bandit_agent,1,2016-03-10 17:24:56.302618,f,,A4J4GGMKJ68L0:3URFVVM165INCPBHD7934NTCXS8UZ2,0.25,0,,,
55,bandit_agent,1,2016-03-10 18:10:43.568366,f,,A3JTPSYZCZSLW2:3M0BCWMB8VW4MVX62T810T76R51WB1,0.24009999999999998,1,,,
50,bandit_agent,1,2016-03-10 17:54:41.974779,t,2016-03-10 17:58:32.703583,A3GZYWA9S6J0K9:30H4UDGLT2IALD42HWKFMFA4A7ZPML,0.30250000000000005,0,,,
48,bandit_agent,1,2016-03-10 17:42:41.109172,f,,A26K8OELA8ZDI9:3JNQLM5FT4MUNOLBFM8OQPNMZSHL2S,0.43560000000000004,0,,,
39,bandit_agent,1,2016-03-10 17:27:47.782747,f,,AC4LBMA5QJJ1I:37C0GNLMHF3Z7DGKP7M3XPWT6OHD6L,0.31360000000000005,0,,,
51,bandit_agent,1,2016-03-10 17:57:01.118928,f,,A2ZV96GRXVSXK4:3S0TNUHWKTIMBRZ8IMJ1H3SKCJ7D87,0.1369,0,,,
26,bandit_agent,1,2016-03-10 17:24:46.272703,t,2016-03-10 17:36:40.681795,AV7A7JJI64J0J:3XIQGXAUMC8W9JZ6ZHS7XAZHHHCX75,1.0000000000000002e-10,0,,,
33,bandit_agent,1,2016-03-10 17:26:08.771694,f,,AUI3R928P63B0:3AUQQEL7U5TQNJURE36GUAS9TSYV00,0.22090000000000004,0,,,
49,bandit_agent,1,2016-03-10 17:45:37.338405,f,,A27W025UEXS1G0:3U5NZHP4LR2OTZ3RQZ42UA28TL0HP4,0.1024,0,,,
57,bandit_agent,1,2016-03-10 18:10:46.070959,f,,A3FOKP72T5I4FR:3L4D84MILZSS7O0TVMZIXEGWKMWHJ6,0.25,1,,,
