id,assignment_id,creation_time,event_type
2355,3A9AA95ATWMCD6JWPX3T5DZINZA5PL,2016-03-03 21:49:31.290371,AssignmentSubmitted
2356,3WQQ9FUS6AUTWU1O4QSVMD4K8LW8B5,2016-03-03 21:50:13.544847,AssignmentAccepted
2357,3DBQWDE4Y6YCAL7J9IQ11OUNNK8N56,2016-03-03 21:50:19.11498,AssignmentAccepted
2358,3LRLIPTPEQ988LYX71P2H7T5L35AKV,2016-03-03 21:53:00.416948,AssignmentSubmitted
2359,3J2UYBXQQLC58TFQDVY8IICABM960V,2016-03-03 21:53:33.133998,AssignmentAccepted
2360,3WQQ9FUS6AUTWU1O4QSVMD4K8LW8B5,2016-03-03 21:53:41.97845,AssignmentSubmitted
2361,31N2WW6R9RQX8E7YXBJVEMNU7XVF31,2016-03-03 21:53:42.921475,AssignmentSubmitted
2362,3G5W44VEU7I9ICB0T1HCDT48JYIGKD,2016-03-03 21:54:17.318414,AssignmentAccepted
2363,34YB12FSQYO480B3EDUSS6WC83DGMI,2016-03-03 21:54:20.736972,AssignmentAccepted
2364,3G5W44VEU7I9ICB0T1HCDT48JYIGKD,2016-03-03 21:54:32.222301,AssignmentReturned
2365,3DBQWDE4Y6YCAL7J9IQ11OUNNK8N56,2016-03-03 21:55:40.659526,AssignmentSubmitted
2366,34YB12FSQYO480B3EDUSS6WC83DGMI,2016-03-03 21:55:51.724373,AssignmentReturned
2367,3DOCMVPBTNEG0ADPDIMNV5U9E58NNW,2016-03-03 21:57:16.725235,AssignmentAccepted
2368,3DOCMVPBTNEG0ADPDIMNV5U9E58NNW,2016-03-03 21:57:17.156528,AssignmentReturned
2369,3YHH42UU5BFNREIX0Z4A71U71HY0LX,2016-03-03 21:57:23.009904,AssignmentSubmitted
2370,3J2UYBXQQLC58TFQDVY8IICABM960V,2016-03-03 21:58:33.288524,AssignmentSubmitted
2371,3U8YCDAGXPGYIBYAS4C6ONT1BNKQ0B,2016-03-03 21:58:59.471197,AssignmentAccepted
2372,3ZWFC4W1UU7PRGS081KRWKQADBCRFI,2016-03-03 22:00:08.105551,AssignmentAccepted
2373,3VSOLARPKB9O74GLUPJ34Q1J4Z1934,2016-03-03 22:01:20.298204,AssignmentAccepted
2374,3MD9PLUKKIEAHZR8G6XHQS1IOJGNZD,2016-03-03 22:01:44.866371,AssignmentAccepted
2375,3ZWFC4W1UU7PRGS081KRWKQADBCRFI,2016-03-03 22:02:34.583498,AssignmentSubmitted
2376,3U8YCDAGXPGYIBYAS4C6ONT1BNKQ0B,2016-03-03 22:03:36.770565,AssignmentSubmitted
2377,39RP059MEHT8HJ3SYR2ERV5FSQLMB7,2016-03-03 22:04:44.673051,AssignmentAccepted
2378,3W8CV64QJ2Z31CNK9A858K2TN4J9HB,2016-03-03 22:05:27.566059,AssignmentAccepted
2379,3VSOLARPKB9O74GLUPJ34Q1J4Z1934,2016-03-03 22:06:06.109465,AssignmentSubmitted
2380,3MD9PLUKKIEAHZR8G6XHQS1IOJGNZD,2016-03-03 22:06:44.808974,AssignmentSubmitted
2381,3HFNH7HEMHEVTF9V66199FGHI49QGE,2016-03-03 22:07:47.425375,AssignmentAccepted
2382,3RSDURM96AM6I34QRLSFMYY74XCEYP,2016-03-03 22:07:52.559162,AssignmentAccepted
2383,3N2BF7Y2VQUI8W6EYJCAD68DN3QMHN,2016-03-03 22:08:08.175224,AssignmentAccepted
2384,3H7Z272LX77QFVMHHKJ0M2VF9PAPLT,2016-03-03 22:09:20.832469,AssignmentAccepted
2385,39RP059MEHT8HJ3SYR2ERV5FSQLMB7,2016-03-03 22:09:53.165396,AssignmentSubmitted
