id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
85,2017-03-10 00:29:02.116715,,,,,,f,,question,14,3,"",""
86,2017-03-10 00:29:02.195767,,,,,,f,,question,14,4,"",""
87,2017-03-10 00:29:08.776756,,,,,,f,,question,32,1,engagement,9
88,2017-03-10 00:29:08.957974,,,,,,f,,question,32,2,difficulty,8
89,2017-03-10 00:29:09.190499,,,,,,f,,question,32,3,"",""
90,2017-03-10 00:29:09.366419,,,,,,f,,question,32,4,"",""
91,2017-03-10 00:29:30.41577,,,,,,f,,question,17,1,engagement,10
92,2017-03-10 00:29:30.54181,,,,,,f,,question,17,2,difficulty,10
93,2017-03-10 00:29:30.658179,,,,,,f,,question,17,3,"",""
94,2017-03-10 00:29:30.782246,,,,,,f,,question,17,4,"",""
95,2017-03-10 00:29:45.548988,,,,,,f,,question,34,1,engagement,10
96,2017-03-10 00:29:46.004439,,,,,,f,,question,34,2,difficulty,8
97,2017-03-10 00:29:46.164472,,,,,,f,,question,34,3,"",""
99,2017-03-10 00:29:53.237613,,,,,,f,,question,9,1,engagement,10
100,2017-03-10 00:29:53.353659,,,,,,f,,question,9,2,difficulty,9
101,2017-03-10 00:29:53.463873,,,,,,f,,question,9,3,"",""
102,2017-03-10 00:29:53.571694,,,,,,f,,question,9,4,"",""
104,2017-03-10 00:30:04.641826,,,,,,f,,question,33,2,difficulty,5
108,2017-03-10 00:31:00.56304,,,,,,f,,question,28,2,difficulty,9
109,2017-03-10 00:31:00.632676,,,,,,f,,question,28,3,"",""
111,2017-03-10 00:34:12.118529,,,,,,f,,question,35,1,engagement,7
114,2017-03-10 00:34:22.148445,,,,,,f,,question,24,1,engagement,10
115,2017-03-10 00:34:22.239768,,,,,,f,,question,24,2,difficulty,4
98,2017-03-10 00:29:46.269014,,,,,,f,,question,34,4,"",""
103,2017-03-10 00:30:04.581094,,,,,,f,,question,33,1,engagement,7
105,2017-03-10 00:30:04.680334,,,,,,f,,question,33,3,"",""
106,2017-03-10 00:30:04.727533,,,,,,f,,question,33,4,"",""
107,2017-03-10 00:31:00.495365,,,,,,f,,question,28,1,engagement,7
110,2017-03-10 00:31:00.679729,,,,,,f,,question,28,4,"",""
112,2017-03-10 00:34:12.410242,,,,,,f,,question,35,2,difficulty,5
113,2017-03-10 00:34:12.615075,,,,,,f,,question,35,3,"",""
116,2017-03-10 00:39:50.601987,,,,,,f,,question,36,1,engagement,10
117,2017-03-10 00:39:50.706194,,,,,,f,,question,36,2,difficulty,8
118,2017-03-10 00:39:50.80172,,,,,,f,,question,36,3,"",""
119,2017-03-10 00:43:58.8586,,,,,,f,,question,39,1,engagement,10
120,2017-03-10 00:43:58.900491,,,,,,f,,question,39,2,difficulty,6
121,2017-03-10 00:43:58.939416,,,,,,f,,question,39,3,"",""
122,2017-03-10 00:43:58.980706,,,,,,f,,question,39,4,"",""
123,2017-03-10 00:44:19.544433,,,,,,f,,question,40,1,engagement,10
124,2017-03-10 00:44:19.655684,,,,,,f,,question,40,2,difficulty,1
125,2017-03-10 00:44:19.777377,,,,,,f,,question,40,3,"",""
126,2017-03-10 00:44:29.67014,,,,,,f,,question,38,1,engagement,10
127,2017-03-10 00:44:29.793644,,,,,,f,,question,38,2,difficulty,10
128,2017-03-10 00:44:29.923488,,,,,,f,,question,38,3,"",""
129,2017-03-10 00:44:30.054057,,,,,,f,,question,38,4,"",""
130,2017-03-10 00:44:52.185607,,,,,,f,,question,41,1,engagement,5
131,2017-03-10 00:44:52.251514,,,,,,f,,question,41,2,difficulty,8
132,2017-03-10 00:44:52.319554,,,,,,f,,question,41,3,"",""
133,2017-03-10 00:44:52.383459,,,,,,f,,question,41,4,"",""
134,2017-03-10 00:49:06.766493,,,,,,f,,question,42,1,engagement,10
135,2017-03-10 00:49:06.821648,,,,,,f,,question,42,2,difficulty,4
136,2017-03-10 00:49:06.878551,,,,,,f,,question,42,3,"",""
137,2017-03-10 01:09:33.116965,,,,,,f,,question,44,1,engagement,9
138,2017-03-10 01:09:33.348829,,,,,,f,,question,44,2,difficulty,10
139,2017-03-10 01:09:33.637404,,,,,,f,,question,44,3,"",""
140,2017-03-10 01:13:00.565762,,,,,,f,,question,48,1,engagement,6
141,2017-03-10 01:13:00.713652,,,,,,f,,question,48,2,difficulty,7
142,2017-03-10 01:13:00.858835,,,,,,f,,question,48,3,"",""
143,2017-03-10 01:13:01.015725,,,,,,f,,question,48,4,"",""
144,2017-03-10 01:14:39.660199,,,,,,f,,question,49,1,engagement,8
145,2017-03-10 01:14:39.750457,,,,,,f,,question,49,2,difficulty,9
146,2017-03-10 01:14:39.833375,,,,,,f,,question,49,3,"",""
147,2017-03-10 01:14:39.928386,,,,,,f,,question,49,4,"",""
148,2017-03-10 01:14:51.131529,,,,,,f,,question,57,1,engagement,3
149,2017-03-10 01:14:51.200942,,,,,,f,,question,57,2,difficulty,2
150,2017-03-10 01:14:51.263166,,,,,,f,,question,57,3,"",""
151,2017-03-10 01:14:51.322849,,,,,,f,,question,57,4,"",""
152,2017-03-10 01:15:15.920259,,,,,,f,,question,46,1,engagement,6
153,2017-03-10 01:15:16.075876,,,,,,f,,question,46,1,engagement,6
154,2017-03-10 01:15:16.405507,,,,,,f,,question,46,2,difficulty,7
155,2017-03-10 01:15:16.568341,,,,,,f,,question,46,2,difficulty,7
156,2017-03-10 01:15:16.706277,,,,,,f,,question,46,3,"",""
157,2017-03-10 01:15:18.946745,,,,,,f,,question,46,3,"",""
158,2017-03-10 01:15:19.031552,,,,,,f,,question,46,1,engagement,6
159,2017-03-10 01:15:19.046511,,,,,,f,,question,46,4,"",""
160,2017-03-10 01:15:19.220693,,,,,,f,,question,46,4,"",""
161,2017-03-10 01:15:19.24991,,,,,,f,,question,46,2,difficulty,7
162,2017-03-10 01:15:22.322914,,,,,,f,,question,52,1,engagement,5
163,2017-03-10 01:15:22.374522,,,,,,f,,question,52,2,difficulty,6
164,2017-03-10 01:15:22.430192,,,,,,f,,question,52,3,"",""
165,2017-03-10 01:15:30.504833,,,,,,f,,question,58,1,engagement,6
166,2017-03-10 01:15:30.643996,,,,,,f,,question,58,2,difficulty,8
167,2017-03-10 01:15:30.770019,,,,,,f,,question,58,3,"",""
168,2017-03-10 01:15:30.901408,,,,,,f,,question,58,4,"",""
169,2017-03-10 01:15:51.726593,,,,,,f,,question,51,1,engagement,10
170,2017-03-10 01:15:52.048421,,,,,,f,,question,51,2,difficulty,9
171,2017-03-10 01:15:52.354178,,,,,,f,,question,51,3,"",""
172,2017-03-10 01:15:52.723679,,,,,,f,,question,51,4,"",""
173,2017-03-10 01:15:53.077608,,,,,,f,,question,62,1,engagement,7
174,2017-03-10 01:15:53.183288,,,,,,f,,question,50,1,engagement,5
175,2017-03-10 01:15:53.220603,,,,,,f,,question,62,2,difficulty,2
176,2017-03-10 01:15:53.361616,,,,,,f,,question,62,3,"",""
177,2017-03-10 01:15:53.41834,,,,,,f,,question,50,2,difficulty,5
178,2017-03-10 01:15:53.501462,,,,,,f,,question,62,4,"",""
179,2017-03-10 01:15:53.674216,,,,,,f,,question,50,3,"",""
180,2017-03-10 01:15:53.917168,,,,,,f,,question,50,4,"",""
181,2017-03-10 01:16:35.279008,,,,,,f,,question,63,1,engagement,9
182,2017-03-10 01:16:35.571847,,,,,,f,,question,63,2,difficulty,5
183,2017-03-10 01:16:39.460762,,,,,,f,,question,61,1,engagement,8
