id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,info_in_id,info_out_id,node_id,network_id
82,2017-03-10 01:05:36.421418,,,,,,f,,mutation,1,1689,46,1
83,2017-03-10 01:11:27.057605,,,,,,f,,mutation,22,1729,47,1
84,2017-03-10 01:11:27.063685,,,,,,f,,mutation,23,1730,47,1
85,2017-03-10 01:11:41.487732,,,,,,f,,mutation,6,1736,48,1
86,2017-03-10 01:11:41.493414,,,,,,f,,mutation,7,1737,48,1
87,2017-03-10 01:11:53.410627,,,,,,f,,mutation,139,1741,49,1
88,2017-03-10 01:11:53.416243,,,,,,f,,mutation,140,1742,49,1
89,2017-03-10 01:12:08.346777,,,,,,f,,mutation,948,1749,50,1
90,2017-03-10 01:12:08.352736,,,,,,f,,mutation,947,1750,50,1
91,2017-03-10 01:12:26.706256,,,,,,f,,mutation,230,1766,51,1
92,2017-03-10 01:12:26.712313,,,,,,f,,mutation,231,1767,51,1
93,2017-03-10 01:12:28.344036,,,,,,f,,mutation,133,1768,52,1
94,2017-03-10 01:12:28.350145,,,,,,f,,mutation,134,1769,52,1
95,2017-03-10 01:12:55.408298,,,,,,f,,mutation,947,1803,53,1
96,2017-03-10 01:12:55.414406,,,,,,f,,mutation,948,1804,53,1
101,2017-03-10 01:13:37.490689,,,,,,f,,mutation,22,1876,56,1
102,2017-03-10 01:13:37.49726,,,,,,f,,mutation,23,1877,56,1
105,2017-03-10 01:14:08.432773,,,,,,f,,mutation,177,1948,58,1
106,2017-03-10 01:14:08.438609,,,,,,f,,mutation,178,1949,58,1
107,2017-03-10 01:14:15.262206,,,,,,f,,mutation,614,1969,59,1
108,2017-03-10 01:14:15.267802,,,,,,f,,mutation,615,1970,59,1
111,2017-03-10 01:15:12.154397,,,,,,f,,mutation,614,2148,61,1
112,2017-03-10 01:15:12.161079,,,,,,f,,mutation,615,2149,61,1
117,2017-03-10 01:15:42.183142,,,,,,f,,mutation,133,2236,64,1
118,2017-03-10 01:15:42.188881,,,,,,f,,mutation,134,2237,64,1
119,2017-03-10 01:15:44.212007,,,,,,f,,mutation,230,2241,65,1
120,2017-03-10 01:15:44.21794,,,,,,f,,mutation,231,2242,65,1
116,2017-03-10 01:15:41.825221,,,,,,t,2017-03-10 01:20:59.896043,mutation,652,2233,63,1
115,2017-03-10 01:15:41.819274,,,,,,t,2017-03-10 01:20:59.903657,mutation,651,2232,63,1
97,2017-03-10 01:13:08.097384,,,,,,f,,mutation,1597,1822,54,1
98,2017-03-10 01:13:08.103908,,,,,,f,,mutation,1598,1823,54,1
99,2017-03-10 01:13:36.324258,,,,,,f,,mutation,1598,1871,55,1
100,2017-03-10 01:13:36.330178,,,,,,f,,mutation,1597,1872,55,1
103,2017-03-10 01:14:07.956103,,,,,,f,,mutation,92,1945,57,1
104,2017-03-10 01:14:07.962146,,,,,,f,,mutation,93,1946,57,1
109,2017-03-10 01:14:27.859275,,,,,,f,,mutation,368,2008,60,1
110,2017-03-10 01:14:27.86531,,,,,,f,,mutation,369,2009,60,1
113,2017-03-10 01:15:35.276848,,,,,,f,,mutation,1417,2213,62,1
114,2017-03-10 01:15:35.282728,,,,,,f,,mutation,1416,2214,62,1
121,2017-03-10 01:16:52.780446,,,,,,f,,mutation,231,2349,66,1
122,2017-03-10 01:16:52.786634,,,,,,f,,mutation,230,2350,66,1
123,2017-03-10 01:17:11.294773,,,,,,f,,mutation,120,2376,67,1
124,2017-03-10 01:17:11.300707,,,,,,f,,mutation,119,2377,67,1
125,2017-03-10 01:17:22.286365,,,,,,f,,mutation,614,2394,68,1
126,2017-03-10 01:17:22.292244,,,,,,f,,mutation,615,2395,68,1
127,2017-03-10 01:17:31.266503,,,,,,f,,mutation,948,2407,69,1
128,2017-03-10 01:17:31.272416,,,,,,f,,mutation,947,2408,69,1
131,2017-03-10 01:17:44.446124,,,,,,f,,mutation,368,2427,71,1
132,2017-03-10 01:17:44.452145,,,,,,f,,mutation,369,2428,71,1
