id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
49,2017-03-10 00:24:07.105992,,,,,,f,,3Z4AIRP3C6DIYXK4A1BYW084Q0NX15,AssignmentAccepted
50,2017-03-10 00:24:42.462308,,,,,,f,,3M81GAB8A0JZ2Y1KQK9V84PKF9SBQ6,AssignmentReturned
51,2017-03-10 00:25:08.307075,,,,,,f,,37WLF8U1WPQ7LJMUHO8Q12RJ22P6KO,AssignmentSubmitted
52,2017-03-10 00:25:09.638987,,,,,,f,,3TDXMTX3CBUGFOW6HLNEOMC6AY06ID,AssignmentSubmitted
53,2017-03-10 00:25:41.814373,,,,,,f,,3YHH42UU5BFNREIX0Z4A71U7EZ8L05,AssignmentAccepted
54,2017-03-10 00:26:21.733186,,,,,,f,,3V5Q80FXIXRD7KVM9G4OU3T5BB123S,AssignmentSubmitted
55,2017-03-10 00:26:23.519937,,,,,,f,,3RANCT1ZVFHRUR817TT0I5M9IUXUBT,AssignmentSubmitted
56,2017-03-10 00:26:24.46223,,,,,,f,,3ON104KXQKWK1WCXNEYESF10TIS4WX,AssignmentSubmitted
57,2017-03-10 00:26:25.678369,,,,,,f,,3Z7ISHFUH0VPES44A48Y8VBNC6S8ZY,AssignmentSubmitted
58,2017-03-10 00:26:27.64905,,,,,,f,,3W2LOLRXLBF072KE9CBOCXIFYP2RK6,AssignmentSubmitted
59,2017-03-10 00:27:10.661257,,,,,,f,,3WAKVUDHUWG4SF5BUCHKD30DZ46U77,AssignmentSubmitted
60,2017-03-10 00:27:13.288595,,,,,,f,,3M23Y66PO27592Z2MXHSSOITJW26S5,AssignmentSubmitted
61,2017-03-10 00:27:14.332761,,,,,,f,,3NGI5ARFTT5DPOIDOA1H2NM1O1F1PM,AssignmentSubmitted
62,2017-03-10 00:27:15.381172,,,,,,f,,3TXD01ZLD4H79SNSSEJDARG382GU4N,AssignmentSubmitted
63,2017-03-10 00:27:16.737973,,,,,,f,,3BQU611VFPKAM651BYKDV345H9L998,AssignmentSubmitted
64,2017-03-10 00:28:19.356046,,,,,,f,,32EYX73OY09EAYPQ3QFQIKRD0G0RU3,AssignmentSubmitted
65,2017-03-10 00:28:20.420204,,,,,,f,,3AMYWKA6YBMQBA79FG0J8J8SM7Z6O8,AssignmentSubmitted
66,2017-03-10 00:28:22.69994,,,,,,f,,3QHK8ZVMIMIOB1L7YF1ZRIQQ535BLH,AssignmentSubmitted
67,2017-03-10 00:29:00.176824,,,,,,f,,3XLBSAQ9Z4CLEEZL0ZGSUVFS1MLZ71,AssignmentSubmitted
68,2017-03-10 00:29:01.161621,,,,,,f,,3Z4AIRP3C6DIYXK4A1BYW084Q0NX15,AssignmentSubmitted
69,2017-03-10 00:29:03.237716,,,,,,f,,3K3R2QNK8B386YT499F4RZRJUUUU9J,AssignmentSubmitted
70,2017-03-10 00:29:05.583065,,,,,,f,,3NKQQ8O39Y5K9O6LLPK6DVA9LF9UD0,AssignmentSubmitted
71,2017-03-10 00:29:55.247076,,,,,,f,,3YHH42UU5BFNREIX0Z4A71U7EZ8L05,AssignmentSubmitted
72,2017-03-10 00:29:56.408398,,,,,,f,,3YZ8UPK3VTMA4W07LTPVTPSR0FXUC0,AssignmentSubmitted
73,2017-03-10 00:29:57.675653,,,,,,f,,3TUI152ZZBNYP0JSONG62SCBTX11QD,AssignmentSubmitted
74,2017-03-10 00:29:59.273882,,,,,,f,,37UEWGM5HT8Y11YS12567IMGPJ31RE,AssignmentSubmitted
75,2017-03-10 00:30:00.331343,,,,,,f,,308XBLVESI4ZEZGK3ZYVDUZPBVUBR7,AssignmentSubmitted
76,2017-03-10 00:30:37.515882,,,,,,f,,3DY4FPOOA1OENDEQ8GPVE6TWEN9RVS,AssignmentSubmitted
77,2017-03-10 00:30:38.32962,,,,,,f,,3OVR4I9USPJFHZGBB5Z80QJE5HB4QT,AssignmentSubmitted
78,2017-03-10 00:30:40.604552,,,,,,f,,3R3YRB5GRF3MBH391FT4NU230CCUAY,AssignmentSubmitted
79,2017-03-10 00:30:41.994002,,,,,,f,,3PMBY0YE273CK4C4NIU4XT5DNUO9CP,AssignmentSubmitted
80,2017-03-10 00:30:42.819569,,,,,,f,,37TRT2X24QRIGBX7VUPMB3DY1E0BJF,AssignmentSubmitted
81,2017-03-10 00:31:22.921375,,,,,,f,,3IHR8NYAM71UHNFWBSKJ0LT40LP4P2,AssignmentSubmitted
82,2017-03-10 00:35:00.406846,,,,,,f,,3WETL7AQWT856HE9RZ6MSAWHVLS53W,AssignmentSubmitted
83,2017-03-10 00:35:01.885694,,,,,,f,,3IXEICO792J6O2CHBXMI2TEFLFG6TU,AssignmentSubmitted
84,2017-03-10 00:38:30.834212,,,,,,f,,3ZSY5X72NXBJXT5T743HJEZOIUCROQ,AssignmentReturned
85,2017-03-10 00:38:31.735328,,,,,,f,,3ZSY5X72NXBJXT5T743HJEZOIUCROQ,AssignmentAccepted
86,2017-03-10 00:39:48.140642,,,,,,f,,39GXDJN2OTE858ZU97JVNPYROVM8VY,AssignmentAbandoned
87,2017-03-10 00:39:51.625544,,,,,,f,,39GXDJN2OTE858ZU97JVNPYROVM8VY,AssignmentAccepted
88,2017-03-10 00:39:52.805102,,,,,,f,,3ZAK8W07I4EQA45R9DWBYOQQRQ0U07,AssignmentAbandoned
89,2017-03-10 00:40:00.916016,,,,,,f,,34PGFRQONOBA4EVIQLLIYHQJBFHWJF,AssignmentAbandoned
90,2017-03-10 00:40:02.839613,,,,,,f,,34PGFRQONOBA4EVIQLLIYHQJBFHWJF,AssignmentAccepted
91,2017-03-10 00:40:04.360079,,,,,,f,,3S4AW7T80BI4Q20YJ0RCJ4KKVBO4L4,AssignmentAbandoned
92,2017-03-10 00:40:05.251894,,,,,,f,,3S4AW7T80BI4Q20YJ0RCJ4KKVBO4L4,AssignmentAccepted
93,2017-03-10 00:40:32.961067,,,,,,f,,3ZSY5X72NXBJXT5T743HJEZOIUCROQ,AssignmentReturned
94,2017-03-10 00:40:54.777762,,,,,,f,,3YWRV122CSZ8STAU4H9QR3W8AOCU8U,AssignmentAbandoned
95,2017-03-10 00:40:55.738438,,,,,,f,,3YWRV122CSZ8STAU4H9QR3W8AOCU8U,AssignmentAccepted
96,2017-03-10 00:41:05.885275,,,,,,f,,32VNZTT0A74FT0VBOKO85GTJ13E4RV,AssignmentAccepted
97,2017-03-10 00:41:19.478296,,,,,,f,,3B837J3LDOWYVLXMELKQ3J9PFJFRSN,AssignmentSubmitted
98,2017-03-10 00:42:15.9265,,,,,,f,,3PW9OPU9PQKHXHH7MCQ56AE8DRO211,AssignmentAccepted
99,2017-03-10 00:44:50.591079,,,,,,f,,3S4AW7T80BI4Q20YJ0RCJ4KKVBO4L4,AssignmentSubmitted
100,2017-03-10 00:44:51.967491,,,,,,f,,32VNZTT0A74FT0VBOKO85GTJ13E4RV,AssignmentSubmitted
101,2017-03-10 00:45:03.262767,,,,,,f,,3YWRV122CSZ8STAU4H9QR3W8AOCU8U,AssignmentSubmitted
102,2017-03-10 00:46:02.700301,,,,,,f,,3PW9OPU9PQKHXHH7MCQ56AE8DRO211,AssignmentSubmitted
103,2017-03-10 00:50:24.2111,,,,,,f,,34PGFRQONOBA4EVIQLLIYHQJBFHWJF,AssignmentSubmitted
104,2017-03-10 00:58:27.229012,,,,,,f,,39GXDJN2OTE858ZU97JVNPYROVM8VY,AssignmentAbandoned
105,2017-03-10 00:59:38.25502,,,,,,f,,3018Q3ZVOIQUVPBSXLYZIJFJTDARAT,AssignmentAccepted
106,2017-03-10 01:10:07.066153,,,,,,f,,3018Q3ZVOIQUVPBSXLYZIJFJTDARAT,AssignmentSubmitted
107,2017-03-10 01:10:18.610617,,,,,,f,,3A9AA95ATWMCD6JWPX3T5DZI0HM5PA,AssignmentAccepted
108,2017-03-10 01:10:48.585349,,,,,,f,,326O153BMIY3KS9ZVP519DO6ZRIED6,AssignmentAccepted
109,2017-03-10 01:10:59.041971,,,,,,f,,3CPLWGV3MOZVB89VC83ID4ZPMY4N9N,AssignmentAccepted
110,2017-03-10 01:10:59.726071,,,,,,f,,3QECW5O0KH1A5YC36ECDAN0FPK75TF,AssignmentAccepted
111,2017-03-10 01:11:04.285394,,,,,,f,,3LPW2N6LKT2P5BRS6J2NFJMH8YE5U6,AssignmentAccepted
112,2017-03-10 01:11:04.964743,,,,,,f,,3MYYFCXHJ37O4AMX89UW6CFCZU4G4C,AssignmentAccepted
113,2017-03-10 01:11:11.275801,,,,,,f,,3RXPCZQMQPB7CBPELRBU8E89NAUG1Z,AssignmentAccepted
114,2017-03-10 01:11:32.474171,,,,,,f,,3WEV0KO0OMS4UBEHWKP6YUSL0IRSDL,AssignmentAccepted
115,2017-03-10 01:11:33.775298,,,,,,f,,3PB5A5BD0V6LNX4GA7S39OZMQWUG7W,AssignmentAccepted
116,2017-03-10 01:11:35.301682,,,,,,f,,3K4J6M3CXET36Z2EHA4NJF1CR40GAN,AssignmentAccepted
117,2017-03-10 01:12:02.754113,,,,,,f,,39OWYR0EPKRYOH4MMWCL4GJ7TG3FYX,AssignmentAccepted
118,2017-03-10 01:12:03.854826,,,,,,f,,3SBEHTYCWN3IY86CN4I67DWZ98VIYR,AssignmentAccepted
119,2017-03-10 01:12:04.744313,,,,,,f,,369J354OFDA2JXQBRXNB3AZQVLAG6X,AssignmentAccepted
120,2017-03-10 01:12:05.638232,,,,,,f,,3TR2532VIPUCAZGCZ38E0NR6NDRJ64,AssignmentAccepted
121,2017-03-10 01:12:06.541805,,,,,,f,,3J2UYBXQQLC58TFQDVY8IICAO4L60K,AssignmentAccepted
122,2017-03-10 01:12:07.435083,,,,,,f,,3TR2532VIPUCAZGCZ38E0NR6NDRJ64,AssignmentReturned
123,2017-03-10 01:12:08.53741,,,,,,f,,3MYYFCXHJ37O4AMX89UW6CFCZU4G4C,AssignmentReturned
124,2017-03-10 01:12:09.216767,,,,,,f,,3EFVCAY5L39ZEDZ0SI5CK1NXT8HJ8Q,AssignmentAccepted
125,2017-03-10 01:12:10.105497,,,,,,f,,3KOPY89HM82DDGTUG1AGTKFMDMPJ3Y,AssignmentAccepted
126,2017-03-10 01:12:48.772426,,,,,,f,,3DOCMVPBTNEG0ADPDIMNV5U9RNLNNM,AssignmentAccepted
127,2017-03-10 01:12:58.077804,,,,,,f,,3TR2532VIPUCAZGCZ38E0NR6NDRJ64,AssignmentAccepted
128,2017-03-10 01:13:05.597967,,,,,,f,,32M8BPYGATMICHLCTYW00DPV4C5GIR,AssignmentAccepted
